community,DK_intercept,DK_coef,DK_se,max_dist_BHHban,BC_movements_shortTerm,BC_movements_permanent
Besnam,16.567,-0.0159,0.0026,100,"rpert,0,0,0","rpert,0,0,0"
Ello,16.567,-0.0159,0.0026,100,"rpert,0,0,0","rpert,0,0,0"
Fatukopa,16.567,-0.0159,0.0026,100,"rpert,0,0,0","rpert,0,0,0"
Kiki,16.567,-0.0159,0.0026,100,"rpert,0,0,0","rpert,0,0,0"
Nifulinah,16.567,-0.0159,0.0026,100,"rpert,0,0,0","rpert,0,0,0"
Nunfutu,16.567,-0.0159,0.0026,100,"rpert,0,0,0","rpert,0,0,0"
Taebone,16.567,-0.0159,0.0026,100,"rpert,0,0,0","rpert,0,0,0"
